ID_GRAFIC,LEVEL,TYPE,COLOR,STYLE,WEIGHT,HEIGHT,ORIENTX,ORIENTY,ORIENTZ,MAPX,MAPY,CODI_SIMB,MIDASX,MIDASY,FONT,JUSTIF,SIZE,NUM_C,TEXT,CAS,FONT_ENTIT,MAPX_1,MAPY_1,MAPZ
74,0,2,46,0,0,651.73,0.0,0.0,0.0,460286.5,4669846.35,COTA,0.001,0.0,34,1,5.0,5,651.7,COT01,/POSE/X-17.30/Y-1.79/m,460286.5,4669846.35,651.73
75,0,2,46,0,0,655.65,0.0,0.0,0.0,460320.72,4669765.38,COTA,0.001,0.0,34,1,5.0,5,655.7,COT01,/POSE/X0.00/Y-7.50/m,460320.72,4669765.38,655.65
85,0,2,46,0,0,648.35,0.0,0.0,0.0,460197.6,4669596.64,COTA,0.001,0.0,34,1,5.0,5,648.4,COT01,/POSE/X0.00/Y-7.50/m,460197.6,4669596.64,648.35
87,0,2,46,0,0,677.36,0.0,0.0,0.0,460487.0,4669584.5,COTA,0.001,0.0,34,1,5.0,5,677.4,COT01,/POSE/X-7.94/Y-9.09/m,460487.0,4669584.5,677.36
89,0,2,46,0,0,613.99,0.0,0.0,0.0,459771.78,4669732.3,COTA,0.001,0.0,34,1,5.0,5,614.0,COT01,/POSE/X0.00/Y-7.50/m,459771.78,4669732.3,613.99
91,0,2,46,0,0,619.73,0.0,0.0,0.0,459872.34,4669825.56,COTA,0.001,0.0,34,1,5.0,5,619.7,COT01,/POSE/X1.94/Y-7.83/m,459872.34,4669825.56,619.73
93,0,2,46,0,0,625.67,0.0,0.0,0.0,459897.92,4669724.22,COTA,0.001,0.0,34,1,5.0,5,625.7,COT01,/POSE/X-6.47/Y-9.14/m,459897.92,4669724.22,625.67
95,0,2,46,0,0,633.93,0.0,0.0,0.0,460024.44,4669665.27,COTA,0.001,0.0,34,1,5.0,5,633.9,COT01,/POSE/X0.00/Y-7.50/m,460024.44,4669665.27,633.93
98,0,2,46,0,0,628.56,0.0,0.0,0.0,459882.74,4669651.83,COTA,0.001,0.0,34,1,5.0,5,628.6,COT01,/POSE/X-19.95/Y-5.86/m,459882.74,4669651.83,628.56
99,0,2,46,0,0,636.64,0.0,0.0,0.0,460119.07,4669825.2,COTA,0.001,0.0,34,1,5.0,5,636.6,COT01,/POSE/X-6.96/Y-9.59/m,460119.07,4669825.2,636.64
102,0,2,46,0,0,643.34,0.0,0.0,0.0,460211.1,4669858.44,COTA,0.001,0.0,34,1,5.0,5,643.3,COT01,/POSE/X0.00/Y-7.50/m,460211.1,4669858.44,643.34
103,0,2,46,0,0,648.79,0.0,0.0,0.0,460205.62,4669651.46,COTA,0.001,0.0,34,1,5.0,5,648.8,COT01,/POSE/X0.00/Y-7.50/m,460205.62,4669651.46,648.79
105,0,2,46,0,0,629.58,0.0,0.0,0.0,460026.58,4669839.24,COTA,0.001,0.0,34,1,5.0,5,629.6,COT01,/POSE/X0.00/Y-7.50/m,460026.58,4669839.24,629.58
112,0,2,46,0,0,633.66,0.0,0.0,0.0,460028.74,4669522.05,COTA,0.001,0.0,34,1,5.0,5,633.7,COT01,/POSE/X-17.99/Y-9.71/m,460028.74,4669522.05,633.66
114,0,2,46,0,0,648.2,0.0,0.0,0.0,460269.94,4669483.25,COTA,0.001,0.0,34,1,5.0,5,648.2,COT01,/POSE/X-19.85/Y-4.05/m,460269.94,4669483.25,648.2
116,0,2,46,0,0,664.16,0.0,0.0,0.0,460381.74,4669209.0,COTA,0.001,0.0,34,1,5.0,5,664.2,COT01,/POSE/X5.10/Y-0.96/m,460381.74,4669209.0,664.16
117,0,2,46,0,0,673.32,0.0,0.0,0.0,460494.53,4669149.74,COTA,0.001,0.0,34,1,5.0,5,673.3,COT01,/POSE/X-1.44/Y-9.66/m,460494.53,4669149.74,673.32
119,0,2,46,0,0,671.1,0.0,0.0,0.0,460468.41,4669281.41,COTA,0.001,0.0,34,1,5.0,5,671.1,COT01,/POSE/X-18.97/Y-3.24/m,460468.41,4669281.41,671.1
121,0,2,46,0,0,671.08,0.0,0.0,0.0,460489.15,4669393.77,COTA,0.001,0.0,34,1,5.0,5,671.1,COT01,/POSE/X2.55/Y0.21/m,460489.15,4669393.77,671.08
122,0,2,46,0,0,665.16,0.0,0.0,0.0,460407.14,4669440.2,COTA,0.001,0.0,34,1,5.0,5,665.2,COT01,/POSE/X0.00/Y-7.50/m,460407.14,4669440.2,665.16
124,0,2,46,0,0,648.77,0.0,0.0,0.0,460258.84,4669545.89,COTA,0.001,0.0,34,1,5.0,5,648.8,COT01,/POSE/X-5.66/Y-8.72/m,460258.84,4669545.89,648.77
