ID_GRAFIC,LEVEL,TYPE,COLOR,STYLE,WEIGHT,HEIGHT,ORIENTX,ORIENTY,ORIENTZ,MAPX,MAPY,CODI_SIMB,MIDASX,MIDASY,FONT,JUSTIF,SIZE,NUM_C,TEXT,CAS,FONT_ENTIT,MAPX_1,MAPY_1,MAPZ
1201,0,2,46,0,0,432.34,0.0,0.0,0.0,457436.01,4669302.7,COTA,0.001,0.0,34,1,5.0,5,432.3,COT01,/POSE/X-7.43/Y-8.57/m,457436.01,4669302.7,432.34
115,0,2,46,0,0,662.75,0.0,0.0,0.0,460373.15,4669247.16,COTA,0.001,0.0,34,1,5.0,5,662.8,COT01,/POSE/X-20.64/Y-7.24/m,460373.15,4669247.16,662.75
979,0,2,46,0,0,449.22,0.0,0.0,0.0,457534.74,4670596.59,COTA,0.001,0.0,34,1,5.0,5,449.2,COT01,/POSE/X0.64/Y-7.95/m,457534.74,4670596.59,449.22
175,0,2,46,0,0,642.77,0.0,0.0,0.0,460223.16,4669481.31,COTA,0.001,0.0,34,1,5.0,5,642.8,COT01,/POSE/X-8.84/Y-8.71/m,460223.16,4669481.31,642.77
63,0,2,46,0,0,605.74,0.0,0.0,0.0,460179.06,4670470.9,COTA,0.001,0.0,34,1,5.0,5,605.7,COT01,/POSE/X0.00/Y-7.50/m,460179.06,4670470.9,605.74
614,0,2,46,0,0,448.52,0.0,0.0,0.0,458364.37,4669976.97,COTA,0.001,0.0,34,1,5.0,5,448.5,COT01,/POSE/X-19.25/Y-1.24/m,458364.37,4669976.97,448.52
721,0,2,46,0,0,437.27,0.0,0.0,0.0,458263.08,4669050.21,COTA,0.001,0.0,34,1,5.0,5,437.3,COT01,/POSE/X1.84/Y-6.39/m,458263.08,4669050.21,437.27
482,0,2,46,0,0,442.88,0.0,0.0,0.0,458657.81,4670310.1,COTA,0.001,0.0,34,1,5.0,5,442.9,COT01,/POSE/X-15.24/Y-8.26/m,458657.81,4670310.1,442.88
350,0,2,46,0,0,435.07,0.0,0.0,0.0,457838.74,4670244.12,COTA,0.001,0.0,34,1,5.0,5,435.1,COT01,/POSE/X-17.16/Y7.52/m,457838.74,4670244.12,435.07
543,0,2,46,0,0,518.89,0.0,0.0,0.0,458914.91,4669852.8,COTA,0.001,0.0,34,1,5.0,5,518.9,COT01,/POSE/X0.00/Y-7.50/m,458914.91,4669852.8,518.89
