ID_GRAFIC,LEVEL,TYPE,COLOR,STYLE,WEIGHT,HEIGHT,ORIENTX,ORIENTY,ORIENTZ,MAPX,MAPY,CODI_SIMB,MIDASX,MIDASY,FONT,JUSTIF,SIZE,NUM_C,TEXT,CAS,FONT_ENTIT,MAPX_1,MAPY_1,MAPZ
26,0,2,46,0,0,639.54,0.00,0.00,0.00,460056.290000,4670125.910000,COTA,0.00100,0.00000,34,1,5.00,5,639.5,COT01,/POSE/X-4.43/Y-8.28/m,460056.290000000,4670125.91000000,639.540000000000
27,0,2,46,0,0,629.17,0.00,0.00,0.00,460002.500000,4670083.990000,COTA,0.00100,0.00000,34,1,5.00,5,629.2,COT01,/POSE/X0.00/Y-7.50/m,460002.500000000,4670083.99000000,629.170000000000
28,0,2,46,0,0,648.32,0.00,0.00,0.00,460137.250000,4670149.460000,COTA,0.00100,0.00000,34,1,5.00,5,648.3,COT01,/POSE/X-19.73/Y1.28/m,460137.250000000,4670149.46000000,648.320000000000
29,0,2,46,0,0,637.95,0.00,0.00,0.00,460172.230000,4670054.900000,COTA,0.00100,0.00000,34,1,5.00,5,638.0,COT01,/POSE/X0.00/Y-7.50/m,460172.230000000,4670054.90000000,637.950000000000
30,0,2,46,0,0,626.65,0.00,0.00,0.00,460026.400000,4670007.490000,COTA,0.00100,0.00000,34,1,5.00,5,626.7,COT01,/POSE/X0.00/Y-7.50/m,460026.400000000,4670007.49000000,626.650000000000
31,0,2,46,0,0,624.22,0.00,0.00,0.00,459937.300000,4669910.570000,COTA,0.00100,0.00000,34,1,5.00,5,624.2,COT01,/POSE/X0.00/Y-7.50/m,459937.300000000,4669910.57000000,624.220000000000
32,0,2,46,0,0,628.61,0.00,0.00,0.00,460046.380000,4669927.300000,COTA,0.00100,0.00000,34,1,5.00,5,628.6,COT01,/POSE/X-7.80/Y-8.76/m,460046.380000000,4669927.30000000,628.610000000000
33,0,2,46,0,0,635.12,0.00,0.00,0.00,460143.970000,4669939.270000,COTA,0.00100,0.00000,34,1,5.00,5,635.1,COT01,/POSE/X0.00/Y-7.50/m,460143.970000000,4669939.27000000,635.120000000000
34,0,2,46,0,0,638.31,0.00,0.00,0.00,460165.560000,4669897.370000,COTA,0.00100,0.00000,34,1,5.00,5,638.3,COT01,/POSE/X-19.24/Y-4.53/m,460165.560000000,4669897.37000000,638.310000000000
35,0,2,46,0,0,639.49,0.00,0.00,0.00,460161.380000,4669853.660000,COTA,0.00100,0.00000,34,1,5.00,5,639.5,COT01,/POSE/X2.95/Y-8.14/m,460161.380000000,4669853.66000000,639.490000000000
36,0,2,46,0,0,647.94,0.00,0.00,0.00,460238.880000,4669879.790000,COTA,0.00100,0.00000,34,1,5.00,5,647.9,COT01,/POSE/X3.73/Y-4.00/m,460238.880000000,4669879.79000000,647.940000000000
37,0,2,46,0,0,645.55,0.00,0.00,0.00,460224.070000,4669907.210000,COTA,0.00100,0.00000,34,1,5.00,5,645.6,COT01,/POSE/X3.16/Y-8.30/m,460224.070000000,4669907.21000000,645.550000000000
38,0,2,46,0,0,645.49,0.00,0.00,0.00,460297.060000,4669969.110000,COTA,0.00100,0.00000,34,1,5.00,5,645.5,COT01,/POSE/X3.33/Y-7.56/m,460297.060000000,4669969.11000000,645.490000000000
39,0,2,46,0,0,651.69,0.00,0.00,0.00,460290.890000,4669914.710000,COTA,0.00100,0.00000,34,1,5.00,5,651.7,COT01,/POSE/X3.11/Y-7.23/m,460290.890000000,4669914.71000000,651.690000000000
40,0,2,46,0,0,641.81,0.00,0.00,0.00,460228.900000,4669964.420000,COTA,0.00100,0.00000,34,1,5.00,5,641.8,COT01,/POSE/X-15.51/Y-8.04/m,460228.900000000,4669964.42000000,641.810000000000
41,0,2,46,0,0,640.95,0.00,0.00,0.00,460303.490000,4670036.630000,COTA,0.00100,0.00000,34,1,5.00,5,641.0,COT01,/POSE/X0.00/Y-7.50/m,460303.490000000,4670036.63000000,640.950000000000
42,0,2,46,0,0,638.73,0.00,0.00,0.00,460227.580000,4670051.260000,COTA,0.00100,0.00000,34,1,5.00,5,638.7,COT01,/POSE/X0.00/Y-7.50/m,460227.580000000,4670051.26000000,638.730000000000
43,0,2,46,0,0,626.13,0.00,0.00,0.00,459947.610000,4669848.530000,COTA,0.00100,0.00000,34,1,5.00,5,626.1,COT01,/POSE/X3.50/Y2.59/m,459947.610000000,4669848.53000000,626.130000000000
44,0,2,46,0,0,629.94,0.00,0.00,0.00,460004.900000,4669807.740000,COTA,0.00100,0.00000,34,1,5.00,5,629.9,COT01,/POSE/X0.00/Y-7.50/m,460004.900000000,4669807.74000000,629.940000000000
